video_id,creator,url,upload_date,views,like_rate,comment_rate,save_rate,repost_rate,performance_score,performance_percentile,performance_group,visual_hook_type,content_format,visual_primary_angle,visual_proof_mechanism,structure_pattern
7596478481538665742,costco.savvy,https://www.tiktok.com/@costco.savvy/video/7596478481538665742?q=faux%20tree&t=1789361769188,2026-01-18,99300,0.010242,0.000272,0.002578,0.004542,0.766667,1.0,WINNER,text_claim,product_review,aesthetic,closeup_visual,hook>product_proof>benefit>problem_solution>price_value>cta
7483571103286283527,mikecenidozaaa,https://www.tiktok.com/@mikecenidozaaa/video/7483571103286283527?q=faux%20tree&t=1789361769188,2025-03-20,96600,0.043406,0.00028,0.006749,0.003406,0.733333,0.666667,NORMAL,human_action,tutorial,price_value,before_after,hook>product_proof>comparison
7460210378484501791,missjessicanicoleblog,https://www.tiktok.com/@missjessicanicoleblog/video/7460210378484501791?q=faux%20tree&t=1789361769188,2025-01-16,79000,0.012,0.000228,0.005962,0.001278,0.3,0.333333,NORMAL,human_action,room_makeover,aesthetic,demonstration,hook>product_proof>transformation
7517629099930848535,the_suffolk_nest,https://www.tiktok.com/@the_suffolk_nest/video/7517629099930848535?q=faux%20tree&t=1789361769188,2025-06-19,42900,0.014732,0.000373,0.00634,0.002075,0.2,0.0,LOSER,transformation,tutorial,aesthetic,demonstration,hook>product_proof>feature>lifestyle
